Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
15-11-2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 7–0,es Spain,mt Malta,Y,CM,90,,1,,,,,,,,,,,0,,,,Match Report
15-11-2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 7–0,es Spain,mt Malta,N,,30,,0,,,,,,,,,,,0,,,,Match Report
18-11-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 5–0,es Spain,ro Romania,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
18-11-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 5–0,es Spain,ro Romania,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
18-11-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 5–0,es Spain,ro Romania,Y,FW,90,,0,,,,,,,,,,,0,,,,Match Report
18-11-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 5–0,es Spain,ro Romania,Y,CM,90,,1,,,,,,,,,,,0,,,,Match Report
18-11-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 5–0,es Spain,ro Romania,Y,RB,90,,3,,,,,,,,,,,1,,,,Match Report
18-11-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 5–0,es Spain,ro Romania,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
18-11-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 5–0,es Spain,ro Romania,Y,LB,90,,0,,,,,,,,,,,1,,,,Match Report
10-12-2019,Sat,UEFA Euro Qualifying,Group stage,Away,D 1–1,es Spain,no Norway,Y,CM,90,,0,,,,,,,,,,,4,,,,Match Report
10-12-2019,Sat,UEFA Euro Qualifying,Group stage,Away,D 1–1,es Spain,no Norway,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-12-2019,Sat,UEFA Euro Qualifying,Group stage,Away,D 1–1,es Spain,no Norway,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-12-2019,Sat,UEFA Euro Qualifying,Group stage,Away,D 1–1,es Spain,no Norway,N,,13,,0,,,,,,,,,,,0,,,,Match Report
09-03-2020,Thu,UEFA Nations League,League A,Away,D 1–1,es Spain,de Germany,Y,FW,90,,0,,,,,,,,,,,1,,,,Match Report
09-03-2020,Thu,UEFA Nations League,League A,Away,D 1–1,es Spain,de Germany,Y,RB,90,,0,,,,,,,,,,,4,,,,Match Report
09-03-2020,Thu,UEFA Nations League,League A,Away,D 1–1,es Spain,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-03-2020,Thu,UEFA Nations League,League A,Away,D 1–1,es Spain,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-03-2020,Thu,UEFA Nations League,League A,Away,D 1–1,es Spain,de Germany,Y,CB,90,,1,,,,,,,,,,,0,,,,Match Report
09-03-2020,Thu,UEFA Nations League,League A,Away,D 1–1,es Spain,de Germany,Y,CM,56,,1,,,,,,,,,,,0,,,,Match Report
09-03-2020,Thu,UEFA Nations League,League A,Away,D 1–1,es Spain,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-03-2020,Thu,UEFA Nations League,League A,Away,D 1–1,es Spain,de Germany,Y,LB,90,,1,,,,,,,,,,,1,,,,Match Report
09-06-2020,Sun,UEFA Nations League,League A,Home,W 4–0,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-06-2020,Sun,UEFA Nations League,League A,Home,W 4–0,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-06-2020,Sun,UEFA Nations League,League A,Home,W 4–0,es Spain,ua Ukraine,N,,17,,1,,,,,,,,,,,0,,,,Match Report
09-06-2020,Sun,UEFA Nations League,League A,Home,W 4–0,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-06-2020,Sun,UEFA Nations League,League A,Home,W 4–0,es Spain,ua Ukraine,Y,CM,68,,1,,,,,,,,,,,1,,,,Match Report
09-06-2020,Sun,UEFA Nations League,League A,Home,W 4–0,es Spain,ua Ukraine,N,,30,,0,,,,,,,,,,,0,,,,Match Report
09-06-2020,Sun,UEFA Nations League,League A,Home,W 4–0,es Spain,ua Ukraine,Y,CB,90,,1,,,,,,,,,,,0,,,,Match Report
09-06-2020,Sun,UEFA Nations League,League A,Home,W 4–0,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-07-2020,Wed,Friendlies (M),Friendlies (M),Away,D 0–0,es Spain,pt Portugal,Y,CB,81,,,,,,,,,,,,,,,,,Match Report
10-07-2020,Wed,Friendlies (M),Friendlies (M),Away,D 0–0,es Spain,pt Portugal,N,,29,,,,,,,,,,,,,,,,,Match Report
