Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y,LB,90,0,1,0,0,0,0,1,0,,,2,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y,FW,74,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y,CM,74,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,N,,16,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,N,,16,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y,FW,90,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,Y,RB,90,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,Match Report,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,Y,LB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,Y,FW,90,1,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,Y,CM,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,Match Report,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,Y,FW,71,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,N,,27,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,Y,CM,71,0,1,0,0,3,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
25-03-2021,Thu,WCQ,First round,Home,D 1–1,es Spain,gr Greece,Y,CB,90,0,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,Match Report,,,,,,,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,Y,CM,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,Y,LB,90,0,2,0,0,0,0,0,0,,,3,,,,,,,,,,,,,Match Report,,,,,,,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,Y,FW,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,Y,CB,45,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,Match Report,1,0,0,0,0,0,,
28-03-2021,Sun,WCQ,First round,Away,W 2–1,es Spain,ge Georgia,Y,FW,90,1,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
